Candidate,Total Mentions,Positive (%),Negative (%),Neutral (%)
Prabowo,559,6.797853309481217,58.139534883720934,35.062611806797854
Gibran,471,5.9447983014862,64.54352441613588,29.511677282377917
Anies,297,7.4074074074074066,57.23905723905723,35.35353535353536
Ganjar,116,9.482758620689655,68.96551724137932,21.551724137931032
Jokowi,396,5.808080808080808,63.38383838383839,30.808080808080806
