Entity,Total Mentions,Positive (%),Negative (%),Neutral (%)
Bencana Alam,208,6.25,59.13461538461539,34.61538461538461
Kesehatan,148,13.513513513513514,52.702702702702695,33.78378378378378
Konflik Internasional,124,4.838709677419355,47.58064516129033,47.58064516129033
Sepak Bola,86,4.651162790697675,53.48837209302325,41.86046511627907
