Topic ID,Top 10 Terms,Document Count (>30% prob)
0,"sehat, obat, sakit, sebab, akibat, dokumentasi, jadi, lapor, hingga, tinggal",165
1,"beberapa, jadi, artikel, judul, buah, tiba, periksa_mafindo, jalan, ingat, tanda",144
2,"kota, baru, resmi, agustus, warga, selamat, banjir, bencana, hingga, gunung",263
3,"turun, diri, indonesia, usai, september, pakai, tangan, tutup, produk, tulis",83
4,"kandung, minta, indonesia, timnas, islam, piala_dunia, umat, hancur, agama, kristen",56
5,"sebut, jadi, orang, lihat, referensi, benar_kategori, buat, guna, laku, kait",639
6,"sembuh, israel, darah, air, minum, makan, korban, bahan, masalah, ginjal",77
