Topic ID,Top 10 Terms,Document Count (>30% prob)
0,"juta, loker, bantu, taut, indonesia, lewat, lowong_kerja, bawah, daftar, dapat",446
1,"bank, undi, festival, motor, kamu, program, brimo, gratis, unit_mobil, daftar",121
2,"akun, resmi, referensi, minta, bagi, nomor, pihak, uang, hubung, postingan",334
3,"gaji, kerja, perintah, tempat, surat, posisi, nomor, terima, group, yth",155
4,"rupa, temu, guna, taut_daftar, kali, dapat, pasti, asli, orang, telusur",110
